mode,issue_hour,lead_hour_bin,subset,points,independent_days,crps,coverage,width,interval_score,mae,raw_mae,center_mae,rmse,raw_rmse,center_rmse
binned,0,22,zero_pv,2004,334,0.10963440928554927,0.907185628742515,0.2076141366627921,0.7734937748907408,0.14969231306938355,0.0,0.25117539608283423,0.35029345375840126,0.0,0.5502418993068086
binned,0,23,all,2004,334,0.10963440928554927,0.907185628742515,0.2076141366627921,0.7734937748907408,0.14969231306938355,0.0,0.25117539608283423,0.35029345375840126,0.0,0.5502418993068086
binned,0,23,zero_pv,2004,334,0.10963440928554927,0.907185628742515,0.2076141366627921,0.7734937748907408,0.14969231306938355,0.0,0.25117539608283423,0.35029345375840126,0.0,0.5502418993068086
binned,0,24,all,2004,334,0.10963440928554927,0.907185628742515,0.2076141366627921,0.7734937748907408,0.14969231306938355,0.0,0.25117539608283423,0.35029345375840126,0.0,0.5502418993068086
binned,0,24,zero_pv,2004,334,0.10963440928554927,0.907185628742515,0.2076141366627921,0.7734937748907408,0.14969231306938355,0.0,0.25117539608283423,0.35029345375840126,0.0,0.5502418993068086
binned,6,0,all,36072,334,114.8725978894755,0.839764914615214,611.071152605188,900.1782925757187,158.14026827387997,180.0343300597878,165.96209945463212,276.0149346202656,286.8707659830625,277.0522816997486
binned,6,0,daylight,25013,334,164.87008456085172,0.8175348818614321,879.1913134180625,1292.1425523930036,226.89215353346324,254.91155091552406,234.45931722261452,331.28523610158476,343.0346211057247,331.2155344676625
binned,6,0,zero_pv,11059,334,1.7893956007391763,0.8900443078035989,4.642941879770979,13.642255790315824,2.638784776461332,10.678698875727155,11.036617220203702,16.314828351721392,47.7268902119705,47.349471099233305
binned,6,1,all,2004,334,38.98215753788621,0.7110778443113772,156.61304370459794,296.2933166221401,55.33610543914739,106.80832378576171,105.82266570502425,77.71138750883901,129.20409517738287,142.70560383391827
binned,6,1,daylight,1715,334,43.07739129883391,0.6944606413994169,174.5432839801899,328.56992215740064,60.640655277660954,111.25897723517977,92.62247756415022,82.1179820008648,130.63711312315192,130.74917620355671
binned,6,1,zero_pv,289,125,14.679991793854263,0.8096885813148789,50.21040677504644,104.75567477794739,23.85754843897173,80.39700660322954,184.15596211194142,43.12243156799623,120.34963958757847,199.41712685880498
binned,6,2,all,2004,334,57.17773068402381,0.8198602794411177,289.775944106827,444.618473006908,78.71027694288522,151.51252282102456,87.77481020323917,105.72607271551034,175.9049491360842,112.6065688623722
binned,6,2,daylight,2004,334,57.17773068402381,0.8198602794411177,289.775944106827,444.618473006908,78.71027694288522,151.51252282102456,87.77481020323917,105.72607271551034,175.9049491360842,112.6065688623722
binned,6,3,all,2004,334,91.85030218752125,0.8423153692614771,486.57313951468535,717.4008802213056,126.30911334569714,192.99341258316701,133.64653028641857,167.43619933310674,232.52415746393785,173.12707535446472
binned,6,3,daylight,2004,334,91.85030218752125,0.8423153692614771,486.57313951468535,717.4008802213056,126.30911334569714,192.99341258316701,133.64653028641857,167.43619933310674,232.52415746393785,173.12707535446472
binned,6,4,all,2004,334,146.7835002034015,0.8358283433133733,776.8239749815956,1154.923804404119,202.45393304050376,237.7930955089822,200.63863544867988,258.1848485851537,301.39509173093927,257.2268019825318
binned,6,4,daylight,2004,334,146.7835002034015,0.8358283433133733,776.8239749815956,1154.923804404119,202.45393304050376,237.7930955089822,200.63863544867988,258.1848485851537,301.39509173093927,257.2268019825318
binned,6,5,all,2004,334,198.85711807840391,0.8458083832335329,1062.8630316912424,1524.8479012142716,277.38034400518404,287.21636767298776,269.5933799058308,345.72084430891044,358.0374873899234,336.2780722151198
binned,6,5,daylight,2004,334,198.85711807840391,0.8458083832335329,1062.8630316912424,1524.8479012142716,277.38034400518404,287.21636767298776,269.5933799058308,345.72084430891044,358.0374873899234,336.2780722151198
binned,6,6,all,2004,334,252.8736797463962,0.8592814371257484,1383.5456244584138,1997.681338857379,345.1633160602754,340.96357699600804,338.16647696977856,444.61899937170756,442.07916627802166,436.4967933917471
binned,6,6,daylight,2004,334,252.8736797463962,0.8592814371257484,1383.5456244584138,1997.681338857379,345.1633160602754,340.96357699600804,338.16647696977856,444.61899937170756,442.07916627802166,436.4967933917471
binned,6,7,all,2004,334,297.339140116841,0.8368263473053892,1592.685956668323,2361.9062010712123,408.474315160863,396.7008294328011,408.0779111139259,514.8871776669295,500.05076891774377,515.4100128171312
binned,6,7,daylight,2004,334,297.339140116841,0.8368263473053892,1592.685956668323,2361.9062010712123,408.474315160863,396.7008294328011,408.0779111139259,514.8871776669295,500.05076891774377,515.4100128171312
binned,6,8,all,2004,334,287.2188123519209,0.844311377245509,1561.5135653410823,2309.2287514261066,394.6701688799061,382.7476240768465,386.01444038749946,498.48004372012974,482.876523527965,488.89233763340695
binned,6,8,daylight,2004,334,287.2188123519209,0.844311377245509,1561.5135653410823,2309.2287514261066,394.6701688799061,382.7476240768465,386.01444038749946,498.48004372012974,482.876523527965,488.89233763340695
binned,6,9,all,2004,334,268.21801574943896,0.8547904191616766,1450.419175875474,2106.936892747959,368.3204938844319,361.72139524284745,360.08222987718,465.07530845441255,451.2651832074555,451.1082315657915
